ID,bbox
6c680823-ef95-4706-bef8-ebb38ff2f8bf,"170.6,18.8,-66.9,71.5"
3c8050c9-397c-49bb-be4d-4472ddceb07e,"-83.0499,42.33,-83.05,42.3301"
p16022coll230:2048,"-105.87391,46.3853,-105.8739,46.38531"
p16022coll230:2038,"-114.04751,46.845,-114.0475,46.8451"
cbe45e1f-d11d-4352-ac09-da2997f8244b,"-76.9999,38.83,-77,38.8301"
66f2da08-3982-4e30-8829-e8bcf74150e6,"-71.0501,42.36,-71.05,42.3601"
p16022coll205:566,"-80.1,41.95,-80,41.951"
p16022coll205:1139,"13.69027778,51.02222222,26.79583333,51.08888889"
p16022coll205:757,"121.0,14.5833,121.0001,14.5834,"
p16022coll230:2772,"-75.01,-11.0,-75.0,-9.0"
3dc51a40-41dd-4631-9863-fd619fe3731b,"-84.3499,46.5,-84.35,46.5001"
ANT-REF-GT2507-011,"180,-86,162,-85"
ANT-REF-MT2503-071,"180,-86,162,-85"
64b4e587-91e4-4b62-acc6-11e34b001674,"-83.6199,42.23,-83.62,42.2301"
66e50797-702e-42c3-86a5-d506ce522fda,"-99.861202,33.309066,-99.851948,33.319434"
p16022coll230:3518,"19.4,41.1833,-168.9667,82.05"
d6422793-ff31-4ca4-a42b-720657e0e8c1,"1.59692756831,44.2245349886,1.5969275683,44.22453498861"
77a3baf1-ce66-4a5c-a8a4-c7c155463edc,"170.6,18.8,-66.9,71.5"
UNL~30~30~282~14021,"-180,-90,180,90"
p16022coll205:603,"-84.451,39.15,-84.45,39.151"
p16022coll230:2460,"-0.75,45.5,-117,49"
p16022coll230:1264,"144.4,-14.75,-52.31666667,83.33333333"
p16022coll246:439,"72.99777778,33.5675,146.1022222,33.63583333"
ANT-REF-MK2508-007,"-150,-87,150,-77"
p16022coll246:449,"72.77583333,18.89277778,144.9863889,19.27138889"
p16022coll230:327,"19.4,41.2,-169,82.1"
p16022coll246:127,"45,49,-170,82"
p16022coll230:348,"3.6,41.2,-169,82.1"
p16022coll230:3480,"19.9167,37.2333,-169.8833,78.45"
facb37fc-90ca-43d0-b39f-417ce88a9920,"139.066,35.4745,139.4585,35.6729"
p16022coll230:3746,"-26.0,4.3944,-25.0,38.05"
p16022coll246:445,"78.46027778,17.40388889,156.5386111,17.45194444"
p16022coll230:3744,"39.4167,14.7,39.4168,14.7001"
e38905ff-cc78-4c78-a9e7-3f2c8a90fb2c,"-87.7499,43.76,-87.75,43.7601"
9e0111b9-b6d8-4c31-a846-6c81aae201bd,"-180,-90,180,90"
e54379c0-66da-4bb5-b166-161c4706659a,"-180,-90,180,90"
p16022coll230:4169,"57.11666667,42.28333333,-168.9833333,81.25"
p16022coll229:608,"-180,-90,180,90"
p16022coll230:4251,"73.86666667,29.53333333,152.9166667,32.48333333"
p16022coll230:4263,"78.05,23.16666667,158.3333333,24.45"
9ccf5f4b-1855-4359-80f3-bb09b2fe8908,"-84.3499,46.5,-84.35,46.5001"
p16022coll205:1141,"75.95,26.73333333,156.8333333,29.21666667"
c7a35f2a-2d47-4f6d-9ace-f584cf1b845d,"-84.7299,45.78,-84.73,45.7801"
p16022coll230:3455,"19.4,41.1833,-168.9667,82.05"
ark-85335-m5086370b,"-85.791753,41.759483,-85.790597,41.761236"
p16022coll230:3786,"80.0,-50.0,-80.0,-30.0"
9b9603a7-e0b0-454a-b73d-4861201d72d4,"-86.4799,42.1,-86.48,42.1001"
p16022coll230:1952,"-84.29221,42.0078,-84.2922,42.00781"
p16022coll230:1313,"144.4,-14.75,-64.35,71.6"
p16022coll230:383,"17.94333333,59.29527778,36.21444444,59.36388889"
p16022coll230:425,"12,39.83,11,40.33"
91783760-82d4-0134-1f08-0050569601ca-9,"-180,-90,180,90"
908c1cd0-82d4-0134-1f08-0050569601ca-2,"-180,-90,180,90"
200a22e5-70ab-4eea-99cd-21dd146b1db3,"-86.7399,41.79,-86.74,41.7901"
994ae10b-83bc-48c5-acc0-354a4af4f604,"-122.4299,47.24,-122.43,47.2401"
p16022coll229:526,"-180,-90,180,90"
p16022coll230:1309,"144.4,-14.75,-64.35,71.6"
65fcdf30-e588-440a-a31c-bb639fae3ca6,"-179.93,62.48,179.83,85.2"
p16022coll229:578,"-3.1883751,55.953346,-3.188375,55.9533461"
e4f966d4-5886-4adb-a6a6-5b49d1eab648,"-83.73,42.28,-83.72,42.281"
p16022coll230:3173,"-179.75,47.5,8.5,51.75"
p16022coll230:654,"144.4,-14.75,-64.35,71.6"
dcca0fd9-ddda-4348-8d41-e7194e2b665f,"44.96,59.68,-169,81.27"
p16022coll230:447,"92.5,42,87,47.5"
9fa1a600-994e-0134-2096-0050569601ca-7,"-180,-90,180,90"
p16022coll230:1316,"144.4,-14.75,-64.35,71.6"
aa1aee30-5e71-46ec-9811-84c713f8adc4,"-83.75,42.28,-83.749,42.281"
a6c3d650-994e-0134-2096-0050569601ca-b,"-180,-90,180,90"
p16022coll230:544,"90.1,-70,90,85"
VAC3073-M-00860,"-86.21011,39.1301,-86.2101,39.13011"
UNL~30~30~182~14498,"-180,-90,180,90"
p16022coll230:3603,"27.2,-10.1167,-171.0667,72.2833"
35f7178e-547b-4bd9-980a-26b40eac9fab,"-85.411,38.75,-85.41,38.751"
edaeca6d-bb8b-4719-b564-190612acaa2b,"-86.51011,39.1501,-86.51,39.15011"
c3e7bf4a-400c-4ad3-9c60-182cf3205a5a,"4.84636981041,44.8907990294,4.8463698104,44.89079902941"
956fed47-655f-4114-8517-bfb8befb6892,"0.2368131,47.091193,0.236813,47.0911931"
p16022coll230:1037,"-179.9,-85.0,180.0,85.0"
p16022coll230:3524,"94.8333,45.4167,13.75,47.75"
0048cc1b-1485-447b-a19b-b40429828747,"4.041119,49.324898,4.098831,49.383787"
263590b0-b0b3-4116-83b2-ee3fc8d0ad26,"-68.00039894881,10.1700261977,-68.0003989488,10.17002619771"
UNL~30~30~230~13997,"-180,-90,180,90"
4fe34f0c-402d-4959-8312-ea35b12d668f,"172.3478,5.4986,-25.0122,83.1355"
ark-85335-m5tx36j4d,"-85.8883,41.695,-85.8847,41.7585"
p16022coll230:4049,"-179.9,-85.0,180.0,85.0"
p16022coll230:549,"160,-90,-40,90"
p16022coll230:4069,"160,-90,-20,80"
pstems_0052767067_windber_07_uk,"-80.5211,39.7198,-74.6897,42.5147"
ANT-REF-MT2503-096,"120,-86,135,-85"
GRL-REF-MT0504-014,"0,0,-26,73"
p16022coll205:758,"133.45,34.8444,133.4833,36.8722"
